,Classes,Old Price,Price Change,New Price,date_range
742,Changan CS 35 Plus A/T / ELITE 2022,"515,000 EGP","trending_up +74,000 EGP","589,000 EGP",10/31/2022
743,Changan CS 55 A/T / L3 2022,"425,000 EGP","trending_up +20,000 EGP","445,000 EGP",10/31/2022
744,Changan CS 55 A/T / L2 2022,"405,000 EGP","trending_up +20,000 EGP","425,000 EGP",10/31/2022
745,Changan CS 55 A/T / L1 2022,"380,000 EGP","trending_up +20,000 EGP","400,000 EGP",10/31/2022
746,Changan CS 15 A/T / L2 2022,"370,000 EGP","trending_up +30,000 EGP","400,000 EGP",10/31/2022
747,Changan CS 15 A/T / L1 2022,"350,000 EGP","trending_up +30,000 EGP","380,000 EGP",10/31/2022
748,Changan Eado A/T / L2 2022,"330,000 EGP","trending_up +20,000 EGP","350,000 EGP",10/31/2022
749,Changan Eado A/T / L1 2022,"310,000 EGP","trending_up +30,000 EGP","340,000 EGP",10/31/2022
750,Changan Alsvin A/T / L2 2022,"295,000 EGP","trending_up +30,000 EGP","325,000 EGP",10/31/2022
751,Changan Alsvin A/T / L1 2022,"275,000 EGP","trending_up +30,000 EGP","305,000 EGP",10/31/2022
752,Changan Alsvin MT‏ / L1 2022,"245,000 EGP","trending_up +30,000 EGP","275,000 EGP",10/31/2022
753,Chery Tiggo 7 A/T / Highline 2023,"490,000 EGP","trending_up +30,000 EGP","520,000 EGP",10/31/2022
754,Chery Tiggo 7 A/T / Baseline 2023,"455,000 EGP","trending_up  +25,000 EGP","480,000 EGP",10/31/2022
755,Chery Arrizo 5 AT / HIGHLINE 2023,"325,000 EGP","trending_up +24,000 EGP","349,000 EGP",10/31/2022
756,Chery Arrizo 5 AT / BASELINE Leather / CVT 2023,"310,000 EGP","trending_up +19,000 EGP","329,000 EGP",10/31/2022
757,Chery Arrizo 5 Manual / Base Line / Leather 2023,"280,000 EGP","trending_up +15,000 EGP","295,000 EGP",10/31/2022
758,Chery Tiggo 3 Automtic / Tinted Glass 2023,"385,000 EGP","trending_up +25,000 EGP","410,000 EGP",10/31/2022
759,Chery Tiggo 8 Pro AT-6DCT COMFORT 2023,"660,000 EGP","trending_up +100,000 EGP","760,000 EGP",10/31/2022
760,Chery Tiggo 8 Pro Automatic / Flagship 2022,"755,000 EGP","trending_up +115,000 EGP","870,000 EGP",10/31/2022
761,Chery Tiggo 8 Pro A/T / Luxury 2022,"720,000 EGP","trending_up +110,000 EGP","830,000 EGP",10/31/2022
762,Chery Tiggo 8 Pro A/T / comfort 2022,"655,000 EGP","trending_up +100,000 EGP","755,000 EGP",10/31/2022
763,Chery Tiggo 8 Automtic / COMFORT 2022,"660,000 EGP","trending_up +15,000 EGP","675,000 EGP",10/31/2022
764,Chery Tiggo 8 A/T / Luxury 2022,"710,000 EGP","trending_up +10,000 EGP","720,000 EGP",10/31/2022
765,Chery Tiggo 7 pro A/T / Luxury 2022,"620,000 EGP","trending_up +90,000 EGP","710,000 EGP",10/31/2022
766,Chery Tiggo 7 pro A/T / Comfort 2022,"575,000 EGP","trending_up +85,000 EGP","660,000 EGP",10/31/2022
767,Chery Tiggo 8 A/T / Luxury 2022,"625,000 EGP","trending_up +85,000 EGP","710,000 EGP",10/31/2022
768,Chery Tiggo 8 Automtic / COMFORT 2022,"585,000 EGP","trending_up +75,000 EGP","660,000 EGP",10/31/2022
769,Chery Arrizo 5 AT / HIGHLINE 2022,"295,000 EGP","trending_up +24,000 EGP","319,000 EGP",10/31/2022
770,Chery Arrizo 5 AT / BASELINE Leather 2022,"280,000 EGP","trending_up +19,000 EGP","299,000 EGP",10/31/2022
771,Chery Arrizo 5 Manual / Base Line / Leather 2022,"252,000 EGP","trending_up +15,000 EGP","267,000 EGP",10/31/2022
772,Chery Tiggo 3 Automtic 2022,"347,000 EGP","trending_up +25,000 EGP","372,000 EGP",10/31/2022
773,Chery Tiggo 7 A/T / Highline 2022,"440,000 EGP","trending_up +30,000 EGP","470,000 EGP",10/31/2022
774,Chery Tiggo 7 A/T / Baseline 2022,"414,000 EGP","trending_up +25,000 EGP","439,000 EGP",10/31/2022
775,Haval H6 A/T / High Deluxe 2022,"755,000 EGP","trending_up +105,000 EGP","860,000 EGP",10/31/2022
776,Haval H6 A/T / Deluxe SR 2022,"710,000 EGP","trending_up +105,000 EGP","815,000 EGP",10/31/2022
777,Haval H6 A/T / Deluxe 2022,"680,000 EGP","trending_up +100,000 EGP","780,000 EGP",10/31/2022
778,Haval H6 A/T / Standard 2022,"645,000 EGP","trending_up +90,000 EGP","735,000 EGP",10/31/2022
779,Haval Jolion A/T / High Deluxe 2022,"625,000 EGP","trending_up +80,000 EGP","705,000 EGP",10/31/2022
780,Haval Jolion A/T / Deluxe SR 2022,"595,000 EGP","trending_up +80,000 EGP","675,000 EGP",10/31/2022
781,Haval Jolion A/T / Deluxe 2022,"565,000 EGP","trending_up +75,000 EGP","640,000 EGP",10/31/2022
782,Haval Jolion A/T / Standard 2022,"525,000 EGP","trending_up +70,000 EGP","595,000 EGP",10/31/2022
783,Hyundai Accent RB A/T / Highline TINTED GLASS 2023,"383,000 EGP","trending_up +17,000 EGP","400,000 EGP",10/31/2022
784,Hyundai Accent RB A/T / DAB ABS PLUS TINTED GLASS 2023,"373,000 EGP","trending_up +17,000 EGP","390,000 EGP",10/31/2022
785,Hyundai Accent RB A/T / DAB ABS TINTED GLASS 2023,"363,000  EGP","trending_up +17,000 EGP","380,000 EGP",10/31/2022
786,Hyundai Accent RB A/T / SR TINTED GLASS 2023,"353,000 EGP","trending_up +17,000 EGP","370,000 EGP",10/31/2022
787,Hyundai Accent RB A/T / TINTED GLASS 2023,"343,000 EGP","trending_up +17,000 EGP","360,000 EGP",10/31/2022
788,Hyundai Elantra HD A/T / HIGHLINE TINTED GLASS 15 2023,"420,000 EGP","trending_up +40,000 EGP","460,000 EGP",10/31/2022
789,Hyundai Elantra HD Automatic / GL / DAB / ABS / Tinted glass 2023,"410,000 EGP","trending_up +40,000 EGP","450,000 EGP",10/31/2022
790,Hyundai Elantra HD Automatic / GL / SR / TINTED GLASS 2023,"400,000 EGP","trending_up +40,000 EGP","440,000 EGP",10/31/2022
791,Hyundai Elantra HD Automatic / GL / TINTED GLASS 2023,"390,000 EGP","trending_up +40,000 EGP","430,000 EGP",10/31/2022
792,Hyundai Elantra HD Automatic / GL / DAB / ABS / Tinted glass 2022,"397,000 EGP","trending_up +40,000 EGP","437,000 EGP",10/31/2022
793,Hyundai Elantra HD Automatic / GL / SR / TINTED GLASS 2022,"387,000 EGP","trending_up +40,000 EGP","427,000 EGP",10/31/2022
794,Hyundai Elantra HD Automatic / GL / TINTED GLASS 2022,"377,000 EGP","trending_up +40,000 EGP","417,000 EGP",10/31/2022
795,Hyundai Accent RB A/T / Highline TINTED GLASS 2022,"370,000 EGP","trending_up +17,000 EGP","387,000 EGP",10/31/2022
796,Hyundai Accent RB A/T / DAB ABS PLUS TINTED GLASS 2022,"360,000 EGP","trending_up +17,000 EGP","377,000 EGP",10/31/2022
797,Hyundai Accent RB A/T / DAB ABS TINTED GLASS 2022,"350,000 EGP","trending_up +17,000 EGP","367,000 EGP",10/31/2022
798,Hyundai Accent RB A/T / SR TINTED GLASS 2022,"343,000 EGP","trending_up +17,000 EGP","360,000 EGP",10/31/2022
799,Hyundai Accent RB A/T / TINTED GLASS 2022,"333,000 EGP","trending_up +17,000 EGP","350,000 EGP",10/31/2022
800,Hyundai Bayon A/T / Ultimate 2022,"565,000 EGP","trending_up +60,000 EGP","625,000 EGP",10/31/2022
801,Hyundai Bayon A/T / Elite 2022,"540,000 EGP","trending_up +60,000 EGP","600,000 EGP",10/31/2022
802,Hyundai Bayon A/T / Dynamic 2022,"515,000 EGP","trending_up +55,000 EGP","570,000 EGP",10/31/2022
803,Hyundai Bayon AT / Spirit 2022,"490,000 EGP","trending_up +45,000 EGP","535,000 EGP",10/31/2022
804,Hyundai I10 A/T / Elite 2022,"345,000 EGP","trending_up  +40,000 EGP","385,000 EGP",10/31/2022
805,Hyundai I10 A/T / Spirit 2022,"335,000 EGP","trending_up +40,000 EGP","375,000 EGP",10/31/2022
806,Hyundai I20 A/T / Ultimate 2022,"500,000 EGP","trending_up +55,000 EGP","555,000 EGP",10/31/2022
807,Hyundai I20 A/T / Elite 2022,"490,000 EGP","trending_up +45,000 EGP","535,000 EGP",10/31/2022
808,Hyundai I20 A/T / Dynamic 2022,"475,000 EGP","trending_up +40,000 EGP","515,000 EGP",10/31/2022
809,Hyundai I20 A/T / SPIRIT 2022,"445,000 EGP","trending_up +40,000 EGP","485,000 EGP",10/31/2022
810,Byd F3 Automtic / Full Option 2023,"325,000 EGP","trending_up +30,000 EGP","355,000 EGP",10/31/2022
811,Byd F3 Manual 2023,"290,000 EGP","trending_up +20,000 EGP","310,000 EGP",10/31/2022
812,Soueast DX7 NOVA Automtic 2022,"700,000 EGP","trending_up +100,000 EGP","800,000 EGP",10/30/2022
813,Soueast Dx7 prime A/T / Flagship 2023,"635,000 EGP","trending_up +65,000 EGP","700,000 EGP",10/30/2022
814,Opel Mokka A/T / GS Line 2023,"649,990 EGP","trending_up +40,000 EGP","689,990 EGP",10/30/2022
815,Opel Mokka A/T / Elegance 2023,"619,990 EGP","trending_up +30,000 EGP","649,990 EGP",10/30/2022
816,Opel Crossland A/T / Top Line 2023,"549,990 EGP","trending_up +30,000 EGP","579,990 EGP",10/30/2022
817,Opel Crossland A/T / Elegance 2023,"519,990 EGP","trending_up +30,000 EGP","549,990 EGP",10/30/2022
818,Opel Corsa A/T / Top line Plus 2023,"519,990 EGP","trending_up +30,000 EGP","549,990 EGP",10/30/2022
819,Opel Corsa A/T / Elegance 2023,"499,990 EGP","trending_up +20,000 EGP","519,990 EGP",10/30/2022
820,Dongfeng Aeolus A30 A/T 2023,"475,000 EGP","trending_up +57,000 EGP","532,000 EGP",10/30/2022
821,Nissan Sentra Automatic / upper 2023,"412,500 EGP","trending_up +47,000 EGP","459,500 EGP",10/30/2022
822,Nissan Sunny A/T / Super Saloon 2023,"322,000 EGP","trending_up +35,000 EGP","357,000 EGP",10/30/2022
823,Nissan Sunny A/T / plus 2023,"311,000 EGP","trending_up +32,000 EGP","343,000 EGP",10/30/2022
824,Nissan Sunny Automatic / Baseline 2023,"292,500 EGP","trending_up +30,000 EGP","322,500 EGP",10/30/2022
825,Nissan Sunny Manual‏ / Baseline 2023,"271,400 EGP","trending_up +20,000 EGP","291,400 EGP",10/30/2022
826,Bestune B70 A/T / Deluxe 2023,"715,000 EGP","trending_up +85,000 EGP","800,000 EGP",10/27/2022
827,Bestune T77 Pro A/T / Premium 2023,"685,000 EGP","trending_up +82,000 EGP","767,000 EGP",10/27/2022
828,Bestune T55 A/T / PREMIUM PLUS 2023,"655,000 EGP","trending_up +78,000 EGP","733,000 EGP",10/27/2022
829,Bestune T33 A/T / Premium 2023,"525,000 EGP","trending_up +63,000 EGP","588,000 EGP",10/27/2022
830,Chevrolet Optra A/T / Highline 2023,"305,500 EGP","trending_up +20,000 EGP","325,500 EGP",10/18/2022
831,Forthing T5 evo Automatic / Exclusive / NABA 2022,"600,000 EGP","trending_up +95,000 EGP","695,000 EGP",10/17/2022
832,Forthing T5 evo Automatic / red brushes 2022,"595,000 EGP","trending_up +75,000 EGP","670,000 EGP",10/17/2022
833,Forthing T5 evo Automtic / luxury / black 2022,"560,000 EGP","trending_up +95,000 EGP","655,000 EGP",10/17/2022
834,Honda City A/T / LX / Sport 2022,"450,000 EGP","trending_up +110,000 EGP","560,000 EGP",10/17/2022
835,Honda City A/T / LX 2022,"430,000 EGP","trending_up +110,000 EGP","540,000 EGP",10/17/2022
836,Honda Accord A/T / Premium 2022,"840,000 EGP","trending_up +270,000 EGP","1,110,000 EGP",10/17/2022
837,Honda Accord A/T / EXL 2022,"780,000 EGP","trending_up +180,000 EGP","960,000 EGP",10/17/2022
838,Honda CRV A/T / EX 2022,"920,000 EGP","trending_up +340,000 EGP","1,260,000 EGP",10/17/2022
839,Honda CRV A/T / LX 2022,"810,000 EGP","trending_up +300,000 EGP","1,110,000 EGP",10/17/2022
840,Cupra Formentor Automtic 2022,"825,000 EGP","trending_up +240,000 EGP","1,065,000 EGP",10/14/2022
841,Seat Ateca A/T / FR 2022,"800,000 EGP","trending_up +160,000 EGP","960,000 EGP",10/13/2022
842,Seat Ateca A/T / Experience 2022,"785,000 EGP","trending_up  +155,000 EGP","940,000 EGP",10/13/2022
843,Seat Ateca A/T / Style Plus 2022,"725,000 EGP","trending_up +110,000 EGP","835,000 EGP",10/13/2022
844,Seat Ateca A/T / Style 2022,"675,000 EGP","trending_up +85,000 EGP","760,000 EGP",10/13/2022
845,Seat Tarraco A/T / FR 2022,"975,000 EGP","trending_up +100,000 EGP","1,075,000 EGP",10/13/2022
846,Seat Tarraco A/T / XCELLENCE 2022,"940,000 EGP","trending_up +30,000 EGP","970,000 EGP",10/13/2022
847,Seat Leon A/T / FR 2022,"685,000 EGP","trending_up +115,000 EGP","800,000 EGP",10/13/2022
848,Seat Arona Automatic / Experience 2022,"540,000 EGP","trending_up +80,000 EGP","620,000 EGP",10/13/2022
849,Seat Arona Automatic / Style 2022,"505,000 EGP","trending_up +65,000 EGP","570,000 EGP",10/13/2022
850,Seat Ibiza A/T / FR 2022,"490,000 EGP","trending_up +90,000 EGP","580,000 EGP",10/13/2022
851,Seat Ibiza A/T / Reference 2022,"299,000 EGP","trending_up +211,000 EGP","510,000 EGP",10/13/2022
852,Peugeot 508 A/T / GT MAX Red Interior 2022,"894,990 EGP","trending_up +25,000 EGP","919,990 EGP",10/13/2022
853,Peugeot 508 A/T / GT MAX 2022,"889,990 EGP","trending_up +25,000 EGP","914,990 EGP",10/13/2022
854,Peugeot 508 A/T / GT Line Red Interior 2022,"800,990 EGP","trending_up +25,000 EGP","825,990 EGP",10/13/2022
855,Peugeot 508 A/T / GT Line 2022,"794,990 EGP","trending_up +25,000 EGP","819,990 EGP",10/13/2022
856,Peugeot 508 A/T / Allure Pack 2022,"738,990 EGP","trending_up +25,000 EGP","763,990 EGP",10/13/2022
857,Peugeot 508 A/T / Active Pack 2022,"674,990 EGP","trending_up +25,000 EGP","699,990 EGP",10/13/2022
858,"Peugeot 5008 A/T / GT Red interior with 10"" touch screen 2022","894,990 EGP","trending_up +25,000 EGP","919,990 EGP",10/13/2022
859,"Peugeot 5008 A/T / GT black pack with 10"" touch screen 2022","884,990 EGP","trending_up +25,000 EGP","909,990 EGP",10/13/2022
860,"Peugeot 5008 A/T / Allure Pack with 10"" touch screen 2022","809,990 EGP","trending_up +25,000 EGP","834,990 EGP",10/13/2022
861,"Peugeot 5008 A/T / Active Pack with 10"" touch screen 2022","759,990 EGP","trending_up +25,000 EGP","784,990 EGP",10/13/2022
862,"Peugeot 3008 A/T / GT Red interior with 10"" touch screen 2022","834,990 EGP","trending_up +25,000 EGP","859,990 EGP",10/13/2022
863,"Peugeot 3008 A/T / GT with 10"" touch screen 2022","829,990 EGP","trending_up +25,000 EGP","854,990 EGP",10/13/2022
864,"Peugeot 3008 A/T / Allure Pack with 10"" touch screen 2022","754,990 EGP","trending_up +25,000 EGP","779,990 EGP",10/13/2022
865,"Peugeot 3008 A/T / Active Pack with 10"" touch screen 2022","704,990 EGP","trending_up +25,000 EGP","729,990 EGP",10/13/2022
866,Peugeot 2008 A/T / GT LINE 2022,"576,990 EGP","trending_up +15,000 EGP","591,990 EGP",10/13/2022
867,Peugeot 2008 A/T / ALLURE 2022,"534,990 EGP","trending_up +15,000 EGP","549,990 EGP",10/13/2022
868,Peugeot 2008 A/T / ACTIVE 2022,"499,990 EGP","trending_up +15,000 EGP","514,990 EGP",10/13/2022
869,Peugeot 301 A/T / Allure 2022,"355,990 EGP","trending_up +10,000 EGP","365,990 EGP",10/13/2022
870,Peugeot 301 A/T / Active 2022,"325,990 EGP","trending_up +10,000 EGP","335,990 EGP",10/13/2022
871,Audi Q7 A/T / TFSI 2022,"2,400,000 EGP","trending_up +350,000 EGP","2,750,000 EGP",10/12/2022
872,Audi Q8 A/T / S Line Plus 2022,"2,650,000 EGP","trending_up +350,000 EGP","3,000,000 EGP",10/12/2022
873,Audi Q8 A/T / S Line 2022,"2,440,000 EGP","trending_up +410,000 EGP","2,850,000 EGP",10/12/2022
874,Audi Q3 A/T / Sport back 2022,"1,180,000 EGP","trending_up +210,000 EGP","1,390,000 EGP",10/12/2022
875,Audi Q3 A/T / SB W New-Rim 2022,"980,000 EGP","trending_up +210,000 EGP","1,190,000 EGP",10/12/2022
876,Audi Q3 A/T / S-Line 2022,"925,000 EGP","trending_up +165,000 EGP","1,090,000 EGP",10/12/2022
877,Audi Q3 A/T / Advanced 2022,"825,000 EGP","trending_up +165,000 EGP","990,000 EGP",10/12/2022
878,Audi Q2 A/T / S Line 2022,"780,000 EGP","trending_up +110,000 EGP","890,000 EGP",10/12/2022
879,Audi Q2 A/T / Basis 2022,"630,000 EGP","trending_up +160,000 EGP","790,000 EGP",10/12/2022
880,Audi A6 A/T / S Line 2022,"1,520,000 EGP","trending_up +270,000 EGP","1,790,000 EGP",10/12/2022
881,Audi A5 A/T / S-Line 2022,"1,200,000 EGP","trending_up +200,000 EGP","1,400,000 EGP",10/12/2022
882,Audi A4 A/T / S Line Plus 2022,"1,100,000 EGP","trending_up +200,000 EGP","1,300,000 EGP",10/12/2022
883,Audi A4 A/T / Smart 2022,"940,000 EGP","trending_up +210,000 EGP","1,150,000 EGP",10/12/2022
884,Audi A3 A/T / Sport back 2022,"760,000 EGP","trending_up +165,000 EGP","925,000 EGP",10/12/2022
885,Audi A3 A/T / S-Line 2022,"780,000 EGP","trending_up +145,000 EGP","925,000 EGP",10/12/2022
886,Audi A3 A/T / Advanced 2022,"700,000 EGP","trending_up +125,000 EGP","825,000 EGP",10/12/2022
887,Soueast Dx7 prime A/T / Flagship 2023,"655,000 EGP","trending_down -20,000 EGP","635,000 EGP",10/11/2022
888,Soueast DX7 NOVA Automtic 2022,"695,000 EGP","trending_up +5,000 EGP","700,000 EGP",10/11/2022
889,Jac JS3 A/T / Smart 2022,"409,900  EGP","trending_up +20,000 EGP","429,900 EGP",10/11/2022
890,Jac J7 A/T / Ultimate 2022,"489,900 EGP","trending_up +40,000 EGP","529,900 EGP",10/11/2022
891,Jac J7 A/T / Deluxe 2022,"462,900 EGP","trending_up +37,000 EGP","499,900 EGP",10/11/2022
892,Jac JS4 A/T / Utlimate 2022,"494,900 EGP","trending_up +43,000 EGP","537,900 EGP",10/11/2022
893,Jac JS4 A/T / Deluxe 2022,"459,900 EGP","trending_up +38,000 EGP","497,900 EGP",10/11/2022
894,MG HS Automatic / LFC Edition 2022,"640,000 EGP","trending_up +60,000 EGP","700,000 EGP",10/5/2022
895,MG HS A/T / Luxury Brown Interior 2022,"635,000 EGP","trending_up +60,000 EGP","695,000 EGP",10/5/2022
896,MG HS A/T / Luxury Black Interior 2022,"630,000 EGP","trending_up +60,000 EGP","690,000 EGP",10/5/2022
897,MG ZS Automatic / Luxury 2022,"455,000 EGP","trending_up +40,000 EGP","495,000 EGP",10/5/2022
898,MG ZS Automatic / Comfort 2022,"440,000 EGP","trending_up +40,000 EGP","480,000 EGP",10/5/2022
899,MG ZS Automatic / Classic 2022,"425,000 EGP","trending_up +40,000 EGP","465,000 EGP",10/5/2022
900,MG Rx5 A/T / Luxury 2022,"590,000 EGP","trending_up +50,000 EGP","640,000 EGP",10/5/2022
901,MG Rx5 A/T / Comfort 2022,"560,000 EGP","trending_up +50,000 EGP","610,000 EGP",10/5/2022
902,MG 6 A/T / LUX / Red Interior) 2022,"505,000 EGP","trending_up +40,000 EGP","545,000 EGP",10/5/2022
903,MG 6 A/T / LUX / Black interior 2022,"500,000 EGP","trending_up +40,000 EGP","540,000 EGP",10/5/2022
904,MG 6 A/T / Comfort 2022,"480,000 EGP","trending_up +40,000 EGP","520,000 EGP",10/5/2022
905,MG 5 A/T / Luxury 2022,"400,000 EGP","trending_up +35,000 EGP","435,000 EGP",10/5/2022
906,MG 5 A/T / Comfort 2022,"380,000 EGP","trending_up +35,000 EGP","415,000 EGP",10/5/2022
907,MG 5 A/T / Standard 2022,"355,000 EGP","trending_up +35,000 EGP","390,000 EGP",10/5/2022
908,Opel Mokka A/T / GS Line 2023,"609,990 EGP","trending_up +40,000 EGP","649,990 EGP",10/5/2022
909,Opel Mokka A/T / Elegance 2023,"574,990 EGP","trending_up +45,000 EGP","619,990 EGP",10/5/2022
910,Opel Crossland A/T / Top Line 2023,"509,990 EGP","trending_up +40,000 EGP","549,990 EGP",10/5/2022
911,Opel Crossland A/T / Elegance 2023,"479,990 EGP","trending_up +40,000 EGP","519,990 EGP",10/5/2022
912,Opel Corsa A/T / Top line Plus 2023,"489,990 EGP","trending_up +30,000 EGP","519,990 EGP",10/5/2022
913,Opel Corsa A/T / Elegance 2023,"469,990 EGP","trending_up +30,000 EGP","499,990 EGP",10/5/2022
914,Baic X3 A/T / Luxury 2023,"449,000 EGP","trending_up +20,000 EGP","469,000 EGP",10/4/2022
915,Baic X3 A/T / Luxury 2022,"408,000 EGP","trending_up +41,000 EGP","449,000 EGP",10/4/2022
916,Baic X3 A/T / Comfort 2022,"387,000 EGP","trending_up +32,000 EGP","419,000 EGP",10/4/2022
917,Mitsubishi Mirage A/T / Highline 2023,"335,000 EGP","trending_up +20,000 EGP","355,000 EGP",10/2/2022
918,Mitsubishi Attrage A/T / Highline 2023,"320,000 EGP","trending_up +20,000 EGP","340,000 EGP",10/2/2022
919,Haval Jolion A/T / High Deluxe 2022,"600,000 EGP","trending_up +25,000 EGP","625,000 EGP",10/2/2022
920,Haval Jolion A/T / Deluxe SR 2022,"570,000 EGP","trending_up +25,000 EGP","595,000 EGP",10/2/2022
921,Haval Jolion A/T / Deluxe 2022,"540,000 EGP","trending_up +25,000 EGP","565,000 EGP",10/2/2022
922,Haval Jolion A/T / Standard 2022,"500,000 EGP","trending_up +25,000 EGP","525,000 EGP",10/2/2022
923,Haval H6 A/T / High Deluxe 2022,"730,000 EGP","trending_up +25,000 EGP","755,000 EGP",10/2/2022
924,Haval H6 A/T / Deluxe SR 2022,"685,000 EGP","trending_up +25,000 EGP","710,000 EGP",10/2/2022
925,Haval H6 A/T / Deluxe 2022,"655,000 EGP","trending_up +25,000 EGP","680,000 EGP",10/2/2022
926,Haval H6 A/T / Standard 2022,"620,000 EGP","trending_up +25,000 EGP","645,000 EGP",10/2/2022
927,Soueast Dx7 prime A/T / Flagship 2023,"625,000 EGP","trending_up +30,000 EGP","655,000 EGP",10/2/2022
928,Changan Eado A/T / L2 2022,"325,000 EGP","trending_up +5,000 EGP","330,000 EGP",10/2/2022
929,Changan Eado A/T / L1 2022,"305,000 EGP","trending_up +5,000 EGP","310,000 EGP",10/2/2022
930,Changan Alsvin A/T / L2 2022,"290,000 EGP","trending_up +5,000 EGP","295,000 EGP",10/2/2022
931,Changan Alsvin A/T / L1 2022,"270,000 EGP","trending_up +5,000 EGP","275,000 EGP",10/2/2022
932,Changan Alsvin MT‏ / L1 2022,"240,000 EGP","trending_up +5,000 EGP","245,000 EGP",10/2/2022
933,Changan CS 35 Plus A/T / FLAGSHIP 2022,"535,000 EGP","trending_up +25,000 EGP","560,000 EGP",10/2/2022
934,Changan CS 35 Plus A/T / PREMIUM 2022,"510,000 EGP","trending_up +25,000 EGP","535,000 EGP",10/2/2022
935,Changan CS 35 Plus A/T / ELITE 2022,"490,000 EGP","trending_up +25,000  EGP","515,000 EGP",10/2/2022
936,Changan CS 15 A/T / L2 2022,"360,000 EGP","trending_up +10,000 EGP","370,000 EGP",10/2/2022
937,Changan CS 15 A/T / L1 2022,"340,000 EGP","trending_up +10,000 EGP","350,000 EGP",10/2/2022
938,Nissan Sentra Automatic / upper 2023,"402,500 EGP","trending_up +10,000 EGP","412,500 EGP",10/2/2022
939,Nissan Sunny A/T / Super Saloon 2023,"312,000 EGP","trending_up +10,000 EGP","322,000 EGP",10/2/2022
940,Nissan Sunny A/T / plus 2023,"301,000 EGP","trending_up +10,000 EGP","311,000 EGP",10/2/2022
941,Nissan Sunny Automatic / Baseline 2023,"282,500 EGP","trending_up +10,000 EGP","292,500 EGP",10/2/2022
942,Nissan Sunny Manual‏ / Baseline 2023,"261,400 EGP","trending_up +10,000 EGP","271,400 EGP",10/2/2022
943,Chery Tiggo 8 Pro Automatic / Flagship 2022,"725,000 EGP","trending_up +30,000 EGP","755,000 EGP",9/30/2022
